skill,jobkey
DAP,a143133e20ece798
"IBM i",a143133e20ece798
sort,a143133e20ece798
PMD,a143133e20ece798
RSS,a143133e20ece798
AIX,a143133e20ece798
"Windows Server",a143133e20ece798
SLIB,a143133e20ece798
MAPPER,a143133e20ece798
Stevie,f435a50ce67249de
"Windows PowerShell",0c9534a011afc6c1
"Windows Azure",0c9534a011afc6c1
"Windows Server",0c9534a011afc6c1
Ansible,0c9534a011afc6c1
PowerShell,0c9534a011afc6c1
Puppet,0c9534a011afc6c1
Linux,0c9534a011afc6c1
SQL,0c9534a011afc6c1
"Windows PowerShell",2fddaa6210f40f97
"Windows Azure",2fddaa6210f40f97
"Windows Server",2fddaa6210f40f97
Ansible,2fddaa6210f40f97
PowerShell,2fddaa6210f40f97
Puppet,2fddaa6210f40f97
Linux,2fddaa6210f40f97
SQL,2fddaa6210f40f97
Arc,0ed44e860ffcc843
Arc,1c2e5107588113e7
OrCAD,1c2e5107588113e7
Arc,e8abe6ae7c6b51de
OrCAD,e8abe6ae7c6b51de
Arc,515997b7cd17b830
AutoCAD,515997b7cd17b830
Arc,0c656b0a153025e1
Arc,2ddb6659312e0ea8
Java,2ddb6659312e0ea8
SQL,2ddb6659312e0ea8
"Adobe Photoshop",74331f2565c19899
"Corel Draw",74331f2565c19899
"Adobe Photoshop",192409f8837e7986
"Pacchetto Office",192409f8837e7986
"Adobe Photoshop",40c4453fbf34d8e3
"Adobe Photoshop",bafdcf5ffdc3fdca
"Adobe Photoshop",fdac54772bb85824
"Adobe Photoshop",631e71438f327992
MySQL,631e71438f327992
SLIME,631e71438f327992
jQuery,631e71438f327992
WordPress,631e71438f327992
JavaScript,631e71438f327992
HTML5,631e71438f327992
PHP,631e71438f327992
"Zend Framework",631e71438f327992
PrestaShop,631e71438f327992
Git,631e71438f327992
"Adobe Photoshop",6bb4364ebab4b3a1
"Adobe Photoshop",2487b0ec3f30cb74
CSS,2487b0ec3f30cb74
C#,2487b0ec3f30cb74
SQL,2487b0ec3f30cb74
"Adobe Photoshop",9d9e82fbdf5e2409
"Adobe Photoshop",a5ab54f886b20433
"Adobe Creative Suite",a5ab54f886b20433
"Adobe Photoshop",e3da582aeb596e1c
"Adobe Photoshop",ba72aacc0513bcd4
"Adobe Photoshop",649da6f6d85e1ac9
"Adobe Photoshop",a4b4b330b3141590
